arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,scenario,description,active_users,request_rate_per_user,burst_factor,arrival_rate,service_rate,proxy_capacity
4984,4895,89,4891,0.017857142857142856,0.4854699425355489,10,0.9921592654384447,21,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5062,4980,82,4976,0.01619913077834848,0.49130435435794445,10,0.9878716017622213,22,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5021,4937,84,4929,0.016729735112527386,0.49057446716675923,10,0.9953987279954685,23,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4929,4826,103,4819,0.020896733617366606,0.4776693587581232,10,0.9907351397333309,24,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4885,4795,90,4789,0.01842374616171955,0.4769217014823744,10,0.9961119318624628,25,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4854,4776,78,4774,0.016069221260815822,0.4802479855619053,10,1.0060215274330049,26,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5036,4915,121,4907,0.02402700555996823,0.4955110972304745,10,1.0093579093641625,27,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5112,4998,114,4992,0.022300469483568074,0.5015267444456148,10,1.0043186787749276,28,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
5053,4936,117,4932,0.023154561646546605,0.5006289090871747,10,1.0153770736073933,29,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
4954,4856,98,4853,0.019781994348001614,0.4897750149044754,10,1.008879590920033,30,residencial_baja_carga,Zona residencial con trafico distribuido y baja intensidad por usuario.,5000,0.001,1.0,5.0,1.0,10
7130,6504,626,6494,0.08779803646563815,0.6573852968426372,10,1.0128760389220417,1,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7124,6520,604,6515,0.08478382930937675,0.6551155208692294,10,1.0050434967591526,2,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7091,6569,522,6561,0.07361444084050205,0.6464994806885115,10,0.9852578427239419,3,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7144,6564,580,6557,0.08118701007838745,0.6535796813559196,10,0.9971673246072237,4,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7057,6506,551,6504,0.07807850361343346,0.6442731706677485,10,0.9905362787740289,5,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7315,6606,709,6601,0.09692412850307587,0.6674212776475209,10,1.0109925260901411,6,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7153,6510,643,6505,0.0898923528589403,0.6575466822623134,10,1.0105873274895272,7,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7175,6559,616,6556,0.08585365853658537,0.6531705626619936,10,0.9965806538238644,8,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7133,6526,607,6521,0.08509743445955419,0.6421085022841542,10,0.9847154307281007,9,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7390,6707,683,6701,0.09242219215155616,0.672151251067459,10,1.0035549972671625,10,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7282,6706,576,6697,0.07909914858555342,0.6679880529662823,10,0.9967037827066471,11,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7028,6451,577,6445,0.08210017074558908,0.6430232361651012,10,0.9976399742294283,12,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7106,6513,593,6506,0.08345060512243174,0.6580834591210789,10,1.0117778029340947,13,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7297,6585,712,6578,0.09757434562148828,0.664836830377775,10,1.010442530972087,14,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7376,6641,735,6633,0.0996475054229935,0.6679114938505819,10,1.007812644921826,15,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7218,6589,629,6582,0.08714325297866445,0.6612359086157323,10,1.004760640597657,16,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7212,6539,673,6533,0.09331669439822518,0.6615364435373161,10,1.012619399106449,17,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7187,6570,617,6565,0.08584945039654933,0.6562589113075982,10,0.9996582021988614,18,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7236,6598,638,6591,0.08817025981205086,0.6537582512984712,10,0.9917738202362727,19,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7275,6619,656,6611,0.09017182130584192,0.6706941499765737,10,1.0146955482578384,20,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7126,6551,575,6543,0.08069042941341566,0.6468234197324592,10,0.9883618954713865,21,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7224,6614,610,6609,0.0844407530454042,0.6550358689167207,10,0.9912161499185146,22,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7145,6570,575,6566,0.08047585724282715,0.6576728105122486,10,1.001608219871304,23,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7142,6565,577,6559,0.08078969476337161,0.6476222355318583,10,0.9874325976732709,24,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7096,6512,584,6506,0.08229988726042842,0.6435128658826043,10,0.9892462952860511,25,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7056,6435,621,6429,0.08801020408163265,0.6522495151721677,10,1.0142831599772104,26,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7186,6573,613,6568,0.0853047592541052,0.6542016718522377,10,0.9960348975776385,27,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7278,6595,683,6586,0.09384446276449573,0.6664326032344079,10,1.0109667846452042,28,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7279,6594,685,6585,0.09410633328753949,0.660813676974377,10,1.0038297424711233,29,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
7229,6565,664,6559,0.09185226172361323,0.6567484848625448,10,1.0010274289124916,30,mixta_residencial_comercial,"Zona mixta con viviendas, comercio local y mayor actividad durante horarios punta.",5000,0.0012,1.2,7.199999999999998,1.0,10
8722,7352,1370,7344,0.1570740655812887,0.7371710108408213,10,1.0032818464223068,1,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8716,7361,1355,7356,0.1554612207434603,0.7382598493890128,10,1.003641007103099,2,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8758,7391,1367,7386,0.15608586435259192,0.740012404941002,10,1.0021139080863481,3,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8855,7350,1505,7341,0.16996047430830039,0.7421032844740786,10,1.0105658769025394,4,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8643,7353,1290,7345,0.14925373134328357,0.7274551452193689,10,0.9911629256301934,5,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8851,7387,1464,7382,0.16540503897864647,0.7447359078733552,10,1.0085855735794296,6,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8700,7361,1339,7352,0.1539080459770115,0.73519947002111,10,0.9999667312092881,7,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8804,7365,1439,7356,0.16344843253066788,0.7402621334494026,10,1.006165156779158,8,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8762,7430,1332,7421,0.15202008673818762,0.7365204111695665,10,0.9923118995069058,9,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8871,7454,1417,7450,0.15973396460376507,0.7417434808118513,10,0.9957092267862011,10,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8786,7512,1274,7503,0.14500341452310495,0.7393290133451705,10,0.9855013316859291,11,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8625,7296,1329,7287,0.15408695652173912,0.7338534287517464,10,1.0069139429288645,12,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8765,7332,1433,7322,0.16349115801483172,0.7474119512847286,10,1.020463184814908,13,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8871,7408,1463,7402,0.16491940029308985,0.7476353258473689,10,1.0104506908641508,14,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8818,7404,1414,7396,0.16035382172828305,0.728945601491899,10,0.9855211539643476,15,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8738,7318,1420,7313,0.1625085831998169,0.7344308116614753,10,1.0044690539507235,16,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8731,7326,1405,7322,0.1609208567174436,0.7335928578646183,10,1.0018501988435837,17,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8895,7449,1446,7444,0.16256323777403037,0.7500114984811689,10,1.007497191877568,18,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8846,7351,1495,7343,0.169002939181551,0.7391337253415562,10,1.0066746138499103,19,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8869,7411,1458,7404,0.16439282895478632,0.7510003245064969,10,1.0140550058758455,20,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8831,7434,1397,7426,0.15819273015513532,0.740535247577945,10,0.9972996689734576,21,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8794,7409,1385,7406,0.1574937457357289,0.7368269856914484,10,0.9948612989306728,22,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8769,7387,1382,7378,0.15760063861329685,0.7407334262040263,10,1.0039877386209133,23,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8842,7425,1417,7416,0.1602578602126216,0.7447908074077539,10,1.0037903182089298,24,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8693,7406,1287,7397,0.1480501552973657,0.7334539831919695,10,0.9912698045127252,25,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8592,7291,1301,7281,0.1514199255121043,0.7322041469731838,10,1.005346110839786,26,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8760,7400,1360,7391,0.1552511415525114,0.7328793347610104,10,0.9916233653292486,27,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8810,7418,1392,7408,0.1580022701475596,0.7432332325397443,10,1.0028508947917514,28,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8784,7401,1383,7396,0.15744535519125682,0.738049338908823,10,0.9978192298497078,29,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
8830,7432,1398,7424,0.15832389580973952,0.7449715100415202,10,1.0037368522615355,30,campus_universitario,Escenario tipo campus con usuarios concentrados y trafico mas sincronizado.,5000,0.0013,1.35,8.775,1.0,10
11145,8139,3006,8131,0.2697173620457604,0.8168995192492294,10,1.005790247230097,1,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11088,8274,2814,8265,0.2537878787878788,0.8138886017815882,10,0.98456365313905,2,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11230,8203,3027,8194,0.2695458593054319,0.8182986597613175,10,0.9987094669359763,3,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11245,8189,3056,8180,0.2717652289906625,0.8180364281841251,10,1.0001275384228487,4,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11215,8201,3014,8194,0.26874721355327685,0.8205659061933249,10,1.0009665841407938,5,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11347,8166,3181,8157,0.28033841544020444,0.8251735057223224,10,1.0116657947014538,6,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11169,8247,2922,8237,0.2616169755573462,0.8096609677240124,10,0.9832159485736047,7,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11306,8189,3117,8182,0.2756943215991509,0.8233838560027056,10,1.0066561877447995,8,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11273,8270,3003,8263,0.26638871640202255,0.8174662499238401,10,0.9893985667047681,9,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11149,8341,2808,8334,0.25186115346667864,0.8167958211324226,10,0.9799824120278013,10,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11340,8289,3051,8279,0.26904761904761904,0.8244609588020249,10,0.9954151484080969,11,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11191,8073,3118,8065,0.2786167455991422,0.8213008349971905,10,1.0185544090644856,12,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11180,8117,3063,8107,0.27397137745974953,0.8222322657433504,10,1.0141109525376633,13,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11289,8254,3035,8247,0.2688457790769776,0.8211422959252859,10,0.9954509690915434,14,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11348,8240,3108,8231,0.2738808600634473,0.8210089830166651,10,0.9971915601720526,15,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11140,8225,2915,8217,0.2616696588868941,0.8139504877186465,10,0.9908446947334036,16,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11222,8142,3080,8133,0.27446088041347355,0.8219423765180905,10,1.0104468148907206,17,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11324,8204,3120,8195,0.2755210173083716,0.8176717067564002,10,0.9978478766784599,18,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11325,8191,3134,8183,0.2767328918322296,0.8231010921139293,10,1.0059792336257163,19,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11316,8176,3140,8171,0.27748320961470485,0.8276634412871278,10,1.0129733848089524,20,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11212,8380,2832,8371,0.25258651444880487,0.8187266940352652,10,0.9778343032775086,21,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11344,8249,3095,8239,0.2728314527503526,0.8214829936206405,10,0.9967136818003131,22,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11311,8258,3053,8248,0.26991424277252235,0.8248726828171373,10,1.0003334187073953,23,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11238,8317,2921,8308,0.2599216942516462,0.8176923800964605,10,0.9838597769784694,24,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11210,8186,3024,8180,0.2697591436217663,0.8190753972594781,10,1.001356565144706,25,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11141,8104,3037,8095,0.27259671483708825,0.8207541449177183,10,1.0136821430145917,26,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11362,8229,3133,8220,0.2757437070938215,0.8234386355776856,10,1.0016469207672647,27,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11187,8239,2948,8230,0.2635201573254671,0.8172610103426153,10,0.9928364018610767,28,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11312,8208,3104,8203,0.2743988684582744,0.824773097836153,10,1.0055208438767402,29,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
11379,8156,3223,8147,0.28324105808946304,0.8218968068695025,10,1.0090786946489798,30,corredor_metro_comercial,"Sector con alta movilidad, comercio y mayor concentracion de solicitudes.",5000,0.0015,1.5,11.25,1.0,10
15357,8869,6488,8859,0.42247834863580125,0.8900739356344151,10,1.0041093110432755,1,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15179,8859,6320,8851,0.4163647144080638,0.8836931920878361,10,0.9981623646237784,2,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15349,8751,6598,8741,0.4298651377939931,0.8878466048910115,10,1.015756023836528,3,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15309,8882,6427,8873,0.41981840747272847,0.88666661210007,10,0.9992733304226443,4,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15426,8785,6641,8779,0.43050693634124204,0.8892346609218071,10,1.0128075485090875,5,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15299,8978,6321,8968,0.4131642591019021,0.8850800398050287,10,0.9867582580795289,6,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15354,8897,6457,8889,0.4205418783378924,0.8877663954147169,10,0.9986217043806539,7,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15348,8817,6531,8807,0.42552775605942145,0.8875767977589992,10,1.0082151944509745,8,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15251,9055,6196,9047,0.4062684414136778,0.8825203746846809,10,0.9759305363688463,9,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15251,8958,6293,8948,0.4126286800865517,0.8858358327056248,10,0.9897085504412199,10,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
15379,8966,6413,8957,0.4169972039794525,0.8863111320319409,10,0.9894583125486074,11,evento_peak,"Escenario de sobrecarga temporal por evento, horario punta o comportamiento masivo.",5000,0.0017,1.8,15.3,1.0,10
