arrivals,accepted,rejected,completed,blocking_probability,utilization,max_busy,mean_service_time,replica,arrival_rate,service_rate,capacity,erlang_b_theoretical
11852,8298,3554,8289,0.2998650016874789,0.8359611010231726,10,1.0081597174350971,14,12,1.0,10,0.3019250402863794
12053,8390,3663,8380,0.30390774081141625,0.8392385139956187,10,1.0015638737885986,15,12,1.0,10,0.3019250402863794
12083,8397,3686,8388,0.3050566912190681,0.8436235224640078,10,1.005857112073608,16,12,1.0,10,0.3019250402863794
11977,8284,3693,8279,0.3083409868915421,0.8376829725488651,10,1.0114962551126678,17,12,1.0,10,0.3019250402863794
11785,8240,3545,8236,0.30080610946117947,0.8359620843362904,10,1.01493355372299,18,12,1.0,10,0.3019250402863794
12167,8389,3778,8379,0.3105120407660064,0.841496364025862,10,1.0044243272334215,19,12,1.0,10,0.3019250402863794
12009,8423,3586,8413,0.2986093763011075,0.832689167542038,10,0.9894437721165563,20,12,1.0,10,0.3019250402863794
11855,8358,3497,8348,0.2949810206663855,0.8346663874557023,10,0.9994257646193359,21,12,1.0,10,0.3019250402863794
11950,8364,3586,8356,0.3000836820083682,0.8384162357864916,10,1.0032599632937897,22,12,1.0,10,0.3019250402863794
11885,8448,3437,8438,0.28918805216659654,0.8340709165247588,10,0.9884273640768867,23,12,1.0,10,0.3019250402863794
11754,8323,3431,8314,0.29190062957291135,0.8350011854086433,10,1.0058125361091756,24,12,1.0,10,0.3019250402863794
12197,8425,3772,8417,0.30925637451832416,0.845416751736934,10,1.0048771830470875,25,12,1.0,10,0.3019250402863794
11911,8386,3525,8376,0.2959449248593737,0.8359427757617863,10,0.9980473079070892,26,12,1.0,10,0.3019250402863794
12326,8434,3892,8429,0.3157553139704689,0.8436343969800075,10,1.001145299311372,27,12,1.0,10,0.3019250402863794
12016,8385,3631,8376,0.3021804260985353,0.8409901732722116,10,1.0037234135955395,28,12,1.0,10,0.3019250402863794
12207,8393,3814,8384,0.31244367985582044,0.8391964557382089,10,1.0014305247168138,29,12,1.0,10,0.3019250402863794
12011,8357,3654,8351,0.3042211306302556,0.8354069316917258,10,1.0004736478614118,30,12,1.0,10,0.3019250402863794
14061,8792,5269,8783,0.3747244150487163,0.8721140826702894,10,0.9926050722980919,1,14,1.0,10,0.3772847543113978
13926,8739,5187,8732,0.37246876346402413,0.8695341640477207,10,0.9956901281325756,2,14,1.0,10,0.3772847543113978
13908,8768,5140,8762,0.36957146965775095,0.866786337889513,10,0.9893956855224838,3,14,1.0,10,0.3772847543113978
14040,8706,5334,8696,0.3799145299145299,0.8738064688812472,10,1.004761606015821,4,14,1.0,10,0.3772847543113978
13997,8709,5288,8699,0.3777952418375366,0.8706970910738578,10,1.001160346347584,5,14,1.0,10,0.3772847543113978
14053,8658,5395,8648,0.38390379278445885,0.869903420869241,10,1.0056553179389758,6,14,1.0,10,0.3772847543113978
13987,8737,5250,8730,0.3753485379280761,0.8719349267214428,10,0.9989298950005752,7,14,1.0,10,0.3772847543113978
14090,8628,5462,8618,0.3876508161816891,0.8705151920427392,10,1.0105739546365862,8,14,1.0,10,0.3772847543113978
14125,8886,5239,8876,0.37090265486725665,0.8711082482942778,10,0.9816376168778738,9,14,1.0,10,0.3772847543113978
14139,8814,5325,8805,0.3766178654784638,0.8739157331603404,10,0.992384625041118,10,14,1.0,10,0.3772847543113978
13745,8875,4870,8867,0.3543106584212441,0.8605640949228908,10,0.9704418116115979,11,14,1.0,10,0.3772847543113978
13931,8540,5391,8532,0.3869786806402986,0.8724457843982014,10,1.022326954437397,12,14,1.0,10,0.3772847543113978
14095,8746,5349,8737,0.3794962752749202,0.8727242287105946,10,0.9992938721392137,13,14,1.0,10,0.3772847543113978
13963,8706,5257,8696,0.37649502255962186,0.8682992517837063,10,0.9988160882421331,14,14,1.0,10,0.3772847543113978
14008,8754,5254,8746,0.3750713877784123,0.8729426988473348,10,0.998456546098337,15,14,1.0,10,0.3772847543113978
13726,8643,5083,8633,0.3703191024333382,0.8707857966318184,10,1.0094726662529114,16,14,1.0,10,0.3772847543113978
14053,8747,5306,8739,0.3775706254892194,0.870216871607372,10,0.9956986879250804,17,14,1.0,10,0.3772847543113978
14125,8770,5355,8760,0.37911504424778764,0.873753167858945,10,0.9975508100960218,18,14,1.0,10,0.3772847543113978
14068,8604,5464,8597,0.38839920386693205,0.8747955497417024,10,1.017396987053377,19,14,1.0,10,0.3772847543113978
14007,8690,5317,8682,0.3795959163275505,0.8754133454978202,10,1.0083963506530067,20,14,1.0,10,0.3772847543113978
13921,8713,5208,8704,0.3741110552402845,0.8677640158239712,10,0.9971777150087663,21,14,1.0,10,0.3772847543113978
13784,8614,5170,8606,0.3750725478816019,0.871102759287925,10,1.0125491858806772,22,14,1.0,10,0.3772847543113978
14100,8811,5289,8801,0.3751063829787234,0.8712973145076532,10,0.9894991120512023,23,14,1.0,10,0.3772847543113978
13916,8752,5164,8742,0.3710836447254958,0.8725109849217686,10,0.9986015479952353,24,14,1.0,10,0.3772847543113978
14071,8903,5168,8895,0.3672802217326416,0.8684536715639086,10,0.9764279307637346,25,14,1.0,10,0.3772847543113978
13868,8746,5122,8738,0.3693394865878281,0.866298486469015,10,0.991160057130293,26,14,1.0,10,0.3772847543113978
14091,8813,5278,8803,0.37456532538499754,0.8736145214281349,10,0.9925847898151209,27,14,1.0,10,0.3772847543113978
13882,8782,5100,8775,0.36738222158190464,0.8640774148792596,10,0.9845940192688405,28,14,1.0,10,0.3772847543113978
14204,8648,5556,8641,0.39115742044494506,0.8816123910020862,10,1.0202305768935627,29,14,1.0,10,0.3772847543113978
14333,8724,5609,8718,0.3913346822019117,0.8773424159718742,10,1.0060046748950966,30,14,1.0,10,0.3772847543113978
15841,8998,6843,8988,0.4319803042737201,0.8928768226161644,10,0.9935891464807851,1,16,1.0,10,0.4405614357419004
16089,8894,7195,8884,0.4471999502765865,0.896843344832979,10,1.0099347152563072,2,16,1.0,10,0.4405614357419004
16041,8930,7111,8920,0.44330153980425163,0.8951484090152259,10,1.0031252898762772,3,16,1.0,10,0.4405614357419004
15915,8979,6936,8970,0.4358152686145146,0.893597501165744,10,0.9961696318620856,4,16,1.0,10,0.4405614357419004
15968,8985,6983,8980,0.43731212424849697,0.893167029054358,10,0.9946303202568308,5,16,1.0,10,0.4405614357419004
16051,8881,7170,8871,0.44670114011588063,0.8932954372149484,10,1.0069565045571645,6,16,1.0,10,0.4405614357419004
16168,9083,7085,9074,0.4382112815437902,0.8899488230675557,10,0.9813421298592985,7,16,1.0,10,0.4405614357419004
16114,9072,7042,9062,0.4370112945264987,0.8941977265571244,10,0.9869039619574312,8,16,1.0,10,0.4405614357419004
15902,8972,6930,8962,0.4357942397182744,0.8917594937693147,10,0.9951251484335014,9,16,1.0,10,0.4405614357419004
15787,8939,6848,8930,0.43377462469120165,0.8928531482186772,10,0.9999969232197033,10,16,1.0,10,0.4405614357419004
16042,8939,7103,8931,0.4427752150604663,0.8925711624062418,10,0.9994783504442524,11,16,1.0,10,0.4405614357419004
16047,8923,7124,8914,0.4439459088926279,0.8967079777658556,10,1.0056229348915635,12,16,1.0,10,0.4405614357419004
15888,9011,6877,9004,0.4328423967774421,0.891478314411726,10,0.9904027310669427,13,16,1.0,10,0.4405614357419004
15847,8781,7066,8771,0.4458888117624787,0.8957542142631372,10,1.0207170916522856,14,16,1.0,10,0.4405614357419004
15999,9064,6935,9054,0.43346459153697103,0.8931766443666751,10,0.9867484919593906,15,16,1.0,10,0.4405614357419004
16217,8959,7258,8949,0.4475550348399827,0.8994934958351148,10,1.0057593029332845,16,16,1.0,10,0.4405614357419004
16100,8836,7264,8829,0.4511801242236025,0.8982082337841814,10,1.0171592427278893,17,16,1.0,10,0.4405614357419004
16038,8867,7171,8857,0.44712557675520637,0.8991701681534859,10,1.015826248541629,18,16,1.0,10,0.4405614357419004
15807,8973,6834,8967,0.4323401024862403,0.8905006422209782,10,0.9926562238519585,19,16,1.0,10,0.4405614357419004
15839,8739,7100,8730,0.4482606225140476,0.8969416612849662,10,1.027072784271762,20,16,1.0,10,0.4405614357419004
16139,9032,7107,9022,0.44036185637276165,0.8961982156812485,10,0.9932236294696506,21,16,1.0,10,0.4405614357419004
15884,9011,6873,9001,0.4326995718962478,0.8934019415059327,10,0.992696308995433,22,16,1.0,10,0.4405614357419004
16203,9053,7150,9044,0.4412763068567549,0.8964238998819802,10,0.9910981758666582,23,16,1.0,10,0.4405614357419004
15868,8977,6891,8968,0.43427022939248805,0.8920794922232608,10,0.9946161287987583,24,16,1.0,10,0.4405614357419004
